match_id,game_mode,account_id,moving_distance,create_time,skyler_ice_wall_destroy,booyah,pet_skill_id,damage,alok_heal_hP,icewall_use,hits,skill_ids,kills,ranking_score,vehicle_kill,medkit_use,bag_inv,vest_inv,revive_teammate_times,assists,weapon_usages,final,group_mode,avatar_id,chrono_block_damage,helmet_inv,revived_times,knock_down,match_mode,rescue_times,hp_added,icewall_destroyed_times,grenade_use,headshots,headshot_killtimes,nickname,map_id,shoots,skill_info,survival_time,team_name,killing_score,end_time,oil_kill,be_killed_time,is_win,item_nums,purchased_items,round_index,kill_times,is_dead,pet_skill_name,player_state,is_in_safe_zone,is_in_bomb_zone,revive_teammate_nums,knock_down_damage_info,skill_autoflightbomb_hit_num,skill_markicewall_damage,team_id
id1622325303630675968,1,668182638,3376.4346,1675627514,0,False,1315000011,66,0,5,4,"[3206, 2306, 4806, 2606]",0,0,0,0,403,309,0,0,"[{""weapon_id"": 82, ""shoots"": 8, ""hits"": 4, ""headshots"": 0, ""kills"": 0, ""damage"": 66, ""weapon_name"": ""M4A1-z""}, {""weapon_id"": 60, ""shoots"": 8, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""GoldMP5""}, {""weapon_id"": 1, ""shoots"": 1, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""FIST""}]",False,3,102000020,0,306,0,0,3,0,87,0,0,0,0,19.Pilassx,1,16,[],410,19ESPORT,4,1675627909,0,410,,,,,,,Helping Hand,1,False,False,0,"[{'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 12, 'damage_type': 88, 'time_ms': 405669}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 13, 'damage_type': 88, 'time_ms': 405768}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 13, 'damage_type': 88, 'time_ms': 405867}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 13, 'damage_type': 88, 'time_ms': 405933}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 72, 'damage_type': 88, 'time_ms': 406032}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 14, 'damage_type': 88, 'time_ms': 406098}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 14, 'damage_type': 88, 'time_ms': 406197}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 14, 'damage_type': 88, 'time_ms': 406263}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 18, 'damage_type': 88, 'time_ms': 406626}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 13, 'damage_type': 88, 'time_ms': 407484}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 13, 'damage_type': 88, 'time_ms': 407583}]",0,0,1
id1622325303630675968,1,106076953,3410.5962,1675627514,0,False,1315000008,1082,0,0,14,"[5606, 1806, 4806, 2806]",2,0,0,0,403,303,0,0,"[{""weapon_id"": 18, ""shoots"": 15, ""hits"": 11, ""headshots"": 0, ""kills"": 1, ""damage"": 738, ""weapon_name"": ""SKS""}, {""weapon_id"": 150, ""shoots"": 8, ""hits"": 3, ""headshots"": 2, ""kills"": 1, ""damage"": 341, ""weapon_name"": ""PP19""}]",False,3,101000024,0,0,0,2,3,0,0,0,0,2,1,19.Elitee,1,23,[],393,19ESPORT,4,1675627909,0,393,,,,,,,Skyline Spree,1,False,False,0,"[{'account_id': '305872054', 'nickname': 'JNSㅤKrowaㅤN', 'damage': 35, 'damage_type': 48, 'time_ms': 386496}, {'account_id': '293857832', 'nickname': 'JNSㅤPajaro.', 'damage': 38, 'damage_type': 48, 'time_ms': 386694}, {'account_id': '305872054', 'nickname': 'JNSㅤKrowaㅤN', 'damage': 192, 'damage_type': 48, 'time_ms': 386925}]",0,0,1
id1622325303630675968,1,1084829318,3105.8076,1675627514,0,False,1315000023,475,0,6,21,"[3206, 5706, 5306, 1906]",0,0,0,0,403,309,0,1,"[{""weapon_id"": 48, ""shoots"": 2, ""hits"": 1, ""headshots"": 0, ""kills"": 0, ""damage"": 42, ""weapon_name"": ""M21A5""}, {""weapon_id"": 88, ""shoots"": 44, ""hits"": 20, ""headshots"": 0, ""kills"": 0, ""damage"": 403, ""weapon_name"": ""MAC10""}]",False,3,102000020,0,306,0,1,3,0,297,0,0,0,0,19.qluso,1,46,"[{""skill_id"": 1906, ""active_count"": 1, ""skill_name"": ""Thrill of Battle""}]",427,19ESPORT,4,1675627909,0,427,,,,,,,Dinoculars,1,False,False,0,[],0,0,1
id1622325303630675968,1,1684050652,3303.687,1675627514,0,False,1315000012,1104,0,11,16,"[3206, 5706, 5306, 3806]",2,0,0,0,403,0,0,0,"[{""weapon_id"": 28, ""shoots"": 14, ""hits"": 9, ""headshots"": 0, ""kills"": 0, ""damage"": 198, ""weapon_name"": ""XM8""}, {""weapon_id"": 48, ""shoots"": 3, ""hits"": 2, ""headshots"": 1, ""kills"": 0, ""damage"": 430, ""weapon_name"": ""M21A5""}, {""weapon_id"": 88, ""shoots"": 36, ""hits"": 5, ""headshots"": 4, ""kills"": 2, ""damage"": 474, ""weapon_name"": ""MAC10""}]",False,3,102000020,50,306,0,3,3,0,180,0,0,5,2,19.Jota,1,53,"[{""skill_id"": 3806, ""active_count"": 1, ""skill_name"": ""Time Turner""}]",427,19ESPORT,4,1675627909,0,427,,,,,,,Dragon Glare,1,False,False,0,"[{'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 16, 'damage_type': -17, 'time_ms': 413655}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 11, 'damage_type': 50, 'time_ms': 416196}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 11, 'damage_type': 50, 'time_ms': 416196}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 10, 'damage_type': 50, 'time_ms': 416196}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 13, 'damage_type': 50, 'time_ms': 416196}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 10, 'damage_type': 50, 'time_ms': 416427}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 10, 'damage_type': 50, 'time_ms': 416427}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 11, 'damage_type': 50, 'time_ms': 416427}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 10, 'damage_type': 50, 'time_ms': 416427}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 10, 'damage_type': 50, 'time_ms': 416625}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 10, 'damage_type': 50, 'time_ms': 416625}, {'account_id': '1640779062', 'nickname': 'JNSㅤSmokeㅤG', 'damage': 10, 'damage_type': 50, 'time_ms': 416625}]",0,0,1
id1622325303630675968,1,6612470391,4576.0684,1675627514,0,False,1315000008,1669,0,5,15,"[4306, 1806, 4806, 6006]",4,0,0,7,403,302,1,2,"[{""weapon_id"": 1, ""shoots"": 3, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""FIST""}, {""weapon_id"": 17, ""shoots"": 1, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""MACHETE""}, {""weapon_id"": 45, ""shoots"": 51, ""hits"": 15, ""headshots"": 1, ""kills"": 4, ""damage"": 1667, ""weapon_name"": ""BLT""}, {""weapon_id"": 93, ""shoots"": 0, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""Treatment Pistol""}]",False,3,102000028,0,305,0,5,3,0,950,9,0,1,0,AGGㅤLopesXL,1,51,"[{""skill_id"": 6006, ""active_count"": 3, ""skill_name"": ""Shape Splitter""}]",973,ALL GLORY,6,1675627909,0,973,,,,,,,Skyline Spree,1,False,False,2,[],0,0,11
id1622325303630675968,1,47986294,4461.5464,1675627514,0,False,1315000011,1580,0,4,9,"[2306, 2606, 4806, 5306]",2,0,0,7,403,0,1,1,"[{""weapon_id"": 48, ""shoots"": 20, ""hits"": 9, ""headshots"": 0, ""kills"": 1, ""damage"": 349, ""weapon_name"": ""M21A5""}, {""weapon_id"": 36, ""shoots"": 0, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 29, ""weapon_name"": ""RGS50""}, {""weapon_id"": 601, ""shoots"": 0, ""hits"": 0, ""headshots"": 0, ""kills"": 1, ""damage"": 1118, ""weapon_name"": ""Grenade""}]",False,3,102000016,0,305,0,3,3,0,968,4,4,0,0,AGGㅤStiward!,1,20,"[{""skill_id"": 2606, ""active_count"": 2, ""skill_name"": ""Painted Refuge""}]",811,ALL GLORY,6,1675627909,0,811,,,,,,,Helping Hand,1,False,False,2,"[{'account_id': '279020080', 'nickname': 'INF.PANICKKK', 'damage': 144, 'damage_type': 601, 'time_ms': 806256}, {'account_id': '279020080', 'nickname': 'INF.PANICKKK', 'damage': 19, 'damage_type': 186, 'time_ms': 807081}, {'account_id': '279020080', 'nickname': 'INF.PANICKKK', 'damage': 19, 'damage_type': 186, 'time_ms': 807081}, {'account_id': '279020080', 'nickname': 'INF.PANICKKK', 'damage': 19, 'damage_type': 186, 'time_ms': 807081}]",0,0,11
id1622325303630675968,1,290974296,4913.183,1675627514,0,False,1315000012,1314,0,6,27,"[3206, 5706, 4806, 1906]",0,0,0,3,403,303,0,3,"[{""weapon_id"": 51, ""shoots"": 2, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""SICKLE""}, {""weapon_id"": 32, ""shoots"": 3, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""P90""}, {""weapon_id"": 50, ""shoots"": 28, ""hits"": 4, ""headshots"": 0, ""kills"": 0, ""damage"": 30, ""weapon_name"": ""MAG7""}, {""weapon_id"": 1, ""shoots"": 2, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""FIST""}, {""weapon_id"": 48, ""shoots"": 24, ""hits"": 6, ""headshots"": 1, ""kills"": 0, ""damage"": 453, ""weapon_name"": ""M21A5""}, {""weapon_id"": 41, ""shoots"": 60, ""hits"": 10, ""headshots"": 0, ""kills"": 0, ""damage"": 104, ""weapon_name"": ""M1887""}, {""weapon_id"": 89, ""shoots"": 31, ""hits"": 7, ""headshots"": 0, ""kills"": 0, ""damage"": 334, ""weapon_name"": ""AC80""}]",False,3,102000012,0,306,1,1,3,0,1135,4,4,1,0,AGGㅤSebassZ,1,146,"[{""skill_id"": 1906, ""active_count"": 4, ""skill_name"": ""Thrill of Battle""}]",973,ALL GLORY,6,1675627909,0,973,,,,,,,Dragon Glare,1,False,False,0,"[{'account_id': '157030833', 'nickname': 'R7ㅤTortu', 'damage': 16, 'damage_type': 88, 'time_ms': 962511}, {'account_id': '157030833', 'nickname': 'R7ㅤTortu', 'damage': 16, 'damage_type': 88, 'time_ms': 962610}, {'account_id': '157030833', 'nickname': 'R7ㅤTortu', 'damage': 66, 'damage_type': 88, 'time_ms': 962709}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 137, 'damage_type': 4, 'time_ms': 962709}]",0,0,11
id1622325303630675968,1,374193972,4883.9683,1675627514,0,False,1315000023,1156,0,12,30,"[5706, 2806, 2706, 2606]",0,0,0,1,403,303,0,2,"[{""weapon_id"": 51, ""shoots"": 1, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""SICKLE""}, {""weapon_id"": 1, ""shoots"": 2, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""FIST""}, {""weapon_id"": 30, ""shoots"": 19, ""hits"": 8, ""headshots"": 2, ""kills"": 0, ""damage"": 198, ""weapon_name"": ""M60""}, {""weapon_id"": 121, ""shoots"": 48, ""hits"": 10, ""headshots"": 5, ""kills"": 0, ""damage"": 354, ""weapon_name"": ""GoldMP5-III""}, {""weapon_id"": 48, ""shoots"": 56, ""hits"": 12, ""headshots"": 0, ""kills"": 0, ""damage"": 547, ""weapon_name"": ""M21A5""}]",False,3,102000038,0,305,1,1,3,1,976,0,2,7,0,AGGㅤJoel77,1,123,"[{""skill_id"": 2606, ""active_count"": 3, ""skill_name"": ""Painted Refuge""}]",973,ALL GLORY,6,1675627909,0,973,,,,,,,Dinoculars,1,False,False,0,"[{'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 7, 'damage_type': 50, 'time_ms': 970332}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 7, 'damage_type': 50, 'time_ms': 970563}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 12, 'damage_type': 50, 'time_ms': 970596}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 8, 'damage_type': 50, 'time_ms': 970761}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 8, 'damage_type': 50, 'time_ms': 970761}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 16, 'damage_type': 86, 'time_ms': 970794}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 16, 'damage_type': 86, 'time_ms': 970794}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 19, 'damage_type': 86, 'time_ms': 970794}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 19, 'damage_type': 86, 'time_ms': 970794}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 19, 'damage_type': 86, 'time_ms': 970794}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 19, 'damage_type': 86, 'time_ms': 970794}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 19, 'damage_type': 86, 'time_ms': 970794}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 19, 'damage_type': 86, 'time_ms': 970794}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 970959}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 11, 'damage_type': 50, 'time_ms': 971157}]",0,0,11
id1622325303630675968,1,1691979368,4317.714,1675627514,0,False,1315000012,363,0,8,12,"[5706, 3206, 1106, 1906]",0,3,0,1,403,0,0,1,"[{""weapon_id"": 1, ""shoots"": 3, ""hits"": 0, ""headshots"": 0, ""kills"": 0, ""damage"": 0, ""weapon_name"": ""FIST""}, {""weapon_id"": 48, ""shoots"": 30, ""hits"": 4, ""headshots"": 0, ""kills"": 0, ""damage"": 163, ""weapon_name"": ""M21A5""}, {""weapon_id"": 50, ""shoots"": 32, ""hits"": 8, ""headshots"": 3, ""kills"": 0, ""damage"": 179, ""weapon_name"": ""MAG7""}]",False,3,102000038,0,306,0,1,3,1,366,0,0,3,0,ESG.CarlxsHG,1,62,"[{""skill_id"": 1906, ""active_count"": 1, ""skill_name"": ""Thrill of Battle""}]",824,ESG,2,1675627909,0,824,,,,,,,Dragon Glare,1,False,False,0,"[{'account_id': '157030833', 'nickname': 'R7ㅤTortu', 'damage': 11, 'damage_type': 88, 'time_ms': 818631}, {'account_id': '157030833', 'nickname': 'R7ㅤTortu', 'damage': 11, 'damage_type': 88, 'time_ms': 818730}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 20, 'damage_type': 86, 'time_ms': 819654}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 20, 'damage_type': 86, 'time_ms': 819654}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 20, 'damage_type': 86, 'time_ms': 819654}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 20, 'damage_type': 86, 'time_ms': 819654}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 20, 'damage_type': 86, 'time_ms': 819654}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 20, 'damage_type': 86, 'time_ms': 819654}, {'account_id': '108965053', 'nickname': 'R7ㅤPatron17', 'damage': 20, 'damage_type': 86, 'time_ms': 819654}, {'account_id': '157030833', 'nickname': 'R7ㅤTortu', 'damage': 16, 'damage_type': 88, 'time_ms': 819753}, {'account_id': '157030833', 'nickname': 'R7ㅤTortu', 'damage': 16, 'damage_type': 88, 'time_ms': 819852}, {'account_id': '157030833', 'nickname': 'R7ㅤTortu', 'damage': 63, 'damage_type': 88, 'time_ms': 820578}]",0,0,3
id1622325303630675968,1,11684405,4244.4985,1675627514,0,False,1315000023,766,0,6,33,"[5706, 5306, 1106, 3806]",2,3,0,2,402,303,0,0,"[{""weapon_id"": 70, ""shoots"": 91, ""hits"": 22, ""headshots"": 2, ""kills"": 2, ""damage"": 616, ""weapon_name"": ""GoldGROZA-x""}, {""weapon_id"": 50, ""shoots"": 28, ""hits"": 11, ""headshots"": 0, ""kills"": 0, ""damage"": 85, ""weapon_name"": ""MAG7""}]",False,3,102000038,0,306,0,2,3,0,565,0,0,2,0,ESG.BloqSC,1,119,[],825,ESG,2,1675627909,0,825,,,,,,,Dinoculars,1,False,False,0,"[{'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 814638}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 814638}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 814638}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 814638}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 814869}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 814869}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 814869}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 10, 'damage_type': 50, 'time_ms': 814869}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 13, 'damage_type': 50, 'time_ms': 815067}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 35, 'damage_type': 50, 'time_ms': 815067}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 15, 'damage_type': 50, 'time_ms': 815265}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 15, 'damage_type': 50, 'time_ms': 815265}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 13, 'damage_type': 50, 'time_ms': 815265}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 15, 'damage_type': 50, 'time_ms': 815265}, {'account_id': '566205332', 'nickname': 'R7ㅤCRISTO888', 'damage': 13, 'damage_type': 50, 'time_ms': 815463}]",0,0,3
